MATHEMATICAL PATTERN COLLECTION - MARKET DATA
Analyst: fedfraud
Generated: 2025-07-04 12:36:10 UTC
================================================================================


================================================================================
LIQUIDATIONS
================================================================================

COIN|EXCHANGE|CONTRACT|SIDE|TIME|AMOUNT|PRICE|TURNOVER
BTC|SWAP|15m|2025-07-04_05:30:00|20455479.36|-55353956.31|-173680560.31|598586325.83
BTC|SWAP|15m|2025-07-04_05:45:00|-3070198.95|63247514.71|-132824392.05|453056343.7
BTC|SWAP|15m|2025-07-04_06:00:00|-11725794.35|115224490.24|-170085347.2|366488670.66
BTC|SWAP|15m|2025-07-04_06:15:00|-116702896.8|-179697545.35|-367489860.96|235320102.5
BTC|SWAP|15m|2025-07-04_06:30:00|8893836.8|-127952566.03|-267318171.3|229364775.66
BTC|SWAP|15m|2025-07-04_06:45:00|2851036.65|-140067461.96|-52278594.81|267711498.0
BTC|SWAP|15m|2025-07-04_07:00:00|12090637.32|-82272350.93|-66604970.63|306315257.62
BTC|SWAP|15m|2025-07-04_07:15:00|5035800.08|117965566.88|-78281547.18|424847622.11
BTC|SWAP|15m|2025-07-04_07:30:00|-26158517.44|-63140804.64|-261572318.37|324821626.54
BTC|SWAP|15m|2025-07-04_07:45:00|-9934111.72|-37133148.88|-195583574.8|274944110.62
BTC|SWAP|15m|2025-07-04_08:00:00|3491383.45|-122871150.39|-248573703.11|214782009.54
BTC|SWAP|15m|2025-07-04_08:15:00|-69953405.25|-266262935.86|-390896428.7|1008955.36
BTC|SWAP|15m|2025-07-04_08:30:00|36623954.68|8630140.9|-237817186.08|162032497.37
BTC|SWAP|15m|2025-07-04_08:45:00|23470198.0|-31245438.34|-145198534.47|183468275.86
BTC|SWAP|15m|2025-07-04_09:00:00|4143994.29|10250505.63|-79668505.45|274808036.23
BTC|SWAP|15m|2025-07-04_09:15:00|6796941.45|187287505.57|-140707408.76|249034256.18
BTC|SWAP|15m|2025-07-04_09:30:00|68145420.86|179947610.34|-2515619.43|46709912.15
BTC|SWAP|15m|2025-07-04_09:45:00|26017926.5|215537715.12|7091665.94|-250733006.76
BTC|SWAP|15m|2025-07-04_10:00:00|19829260.88|200869893.65|5976897.96|-92425965.72
BTC|SWAP|15m|2025-07-04_10:15:00|-38804303.37|160360723.52|199350860.11|-45081010.4
BTC|SWAP|15m|2025-07-04_10:30:00|6727827.89|3027360.6|128464307.2|38330266.18
BTC|SWAP|15m|2025-07-04_10:45:00|-10869399.21|-29983721.98|117175405.92|55539264.57
BTC|SWAP|15m|2025-07-04_11:00:00|-9077613.37|-5465778.1|82783470.79|34967901.66
BTC|SWAP|15m|2025-07-04_11:15:00|18122297.43|33365684.63|114750977.86|137958843.29
BTC|SWAP|15m|2025-07-04_11:30:00|49384271.38|91893952.2|283499064.04|232974715.02
BTC|SWAP|15m|2025-07-04_11:45:00|16788058.9|86701357.65|241009912.45|221933321.02
BTC|SWAP|15m|2025-07-04_12:00:00|9122540.85|55760020.49|261414641.67|173493411.29
BTC|SWAP|15m|2025-07-04_12:15:00|2775950.44|23526862.79|404540776.51|214488731.12
BTC|SWAP|15m|2025-07-04_12:30:00|8570294.47|-27700688.67|247168234.47|151945479.59
BTC|SWAP|1h|2025-07-02_11:00:00|74813528.39|32180940.48|-188174779.18|-266908040.27
BTC|SWAP|1h|2025-07-02_12:00:00|24910850.19|-247203480.85|-336180562.36|-678619080.81
BTC|SWAP|1h|2025-07-02_13:00:00|9741805.0|61299042.48|-521630064.93|-587224006.61
BTC|SWAP|1h|2025-07-02_14:00:00|24290182.13|186468791.51|32745293.62|-469840336.95
BTC|SWAP|1h|2025-07-02_15:00:00|130705327.73|116153972.65|116718325.79|109172275.95
BTC|SWAP|1h|2025-07-02_16:00:00|254492719.75|641174298.07|1005096104.71|684645757.91
BTC|SWAP|1h|2025-07-02_17:00:00|-29415084.22|621589863.28|1565386925.51|930144129.75
BTC|SWAP|1h|2025-07-02_18:00:00|-3738264.59|-254228048.97|1124690085.03|687021147.5
BTC|SWAP|1h|2025-07-02_19:00:00|24117539.52|227801726.55|1236337838.93|1162826566.9
BTC|SWAP|1h|2025-07-02_20:00:00|100416826.77|111330689.86|706494230.72|1461134135.5
BTC|SWAP|1h|2025-07-02_21:00:00|-30572329.48|-155021792.02|-70117424.58|1206746343.35
BTC|SWAP|1h|2025-07-02_22:00:00|4333188.43|188565344.27|372675968.66|1398668030.27
BTC|SWAP|1h|2025-07-02_23:00:00|-9996850.64|-11279349.59|133594892.52|1426988860.27
BTC|SWAP|1h|2025-07-03_00:00:00|15478775.45|-248660700.6|-226396497.94|1119556729.62
BTC|SWAP|1h|2025-07-03_01:00:00|-5254676.82|191681574.07|120306868.15|1414410341.57
BTC|SWAP|1h|2025-07-03_02:00:00|-3878487.57|45280863.95|-22977612.17|1455050178.86
BTC|SWAP|1h|2025-07-03_03:00:00|33145007.68|-141585291.98|-153283554.56|1217228611.76
BTC|SWAP|1h|2025-07-03_04:00:00|-28447884.01|32419425.79|127796571.83|1168536656.63
BTC|SWAP|1h|2025-07-03_05:00:00|-22434465.99|51074289.84|-12810712.4|1061773202.22
BTC|SWAP|1h|2025-07-03_06:00:00|-13825957.63|534283133.66|476191557.31|1494937865.49
BTC|SWAP|1h|2025-07-03_07:00:00|-31627283.93|-22098937.89|595677911.4|1394619517.97
BTC|SWAP|1h|2025-07-03_08:00:00|-5911608.63|-31337902.31|531920583.3|1462479313.33
BTC|SWAP|1h|2025-07-03_09:00:00|-28768470.47|-49775521.06|431070772.4|1165955247.22
BTC|SWAP|1h|2025-07-03_10:00:00|-13859545.37|568103895.6|464891534.34|2101965709.86
BTC|SWAP|1h|2025-07-03_11:00:00|-2846671.95|-132859645.48|354130826.75|1936925123.9
BTC|SWAP|1h|2025-07-03_12:00:00|-5086894.38|-82765489.14|302703239.92|2101363115.61
BTC|SWAP|1h|2025-07-03_13:00:00|79116148.44|-105967483.63|246511277.35|1934096589.5
BTC|SWAP|1h|2025-07-03_14:00:00|-12926706.9|473013393.7|151420775.45|2220641191.69
BTC|SWAP|1h|2025-07-03_15:00:00|51832541.58|-487105564.84|-202825143.91|1617381654.2
BTC|SWAP|1h|2025-07-03_16:00:00|-50378524.36|-102504337.3|-222563992.07|873703018.83
BTC|SWAP|1h|2025-07-03_17:00:00|4087576.86|371823920.05|255227411.61|970188192.53
BTC|SWAP|1h|2025-07-03_18:00:00|-7117014.14|92379248.2|-125406733.89|1316795489.7
BTC|SWAP|1h|2025-07-03_19:00:00|9700173.93|-270921.41|361427909.54|1088722841.74
BTC|SWAP|1h|2025-07-03_20:00:00|-3670868.83|95115897.88|559048144.72|1072508049.76
BTC|SWAP|1h|2025-07-03_21:00:00|8912310.44|31261356.53|218485581.2|1258791198.31
BTC|SWAP|1h|2025-07-03_22:00:00|-22959.51|12376692.66|138483025.66|1082602546.7
BTC|SWAP|1h|2025-07-03_23:00:00|-768772.03|-39856948.45|98896998.62|1054024947.84
BTC|SWAP|1h|2025-07-04_00:00:00|2899332.76|-54230711.42|-50449610.68|1248454937.02
BTC|SWAP|1h|2025-07-04_01:00:00|-46586701.71|-60953916.56|-142664883.77|995819446.39
BTC|SWAP|1h|2025-07-04_02:00:00|1769016.76|62226992.73|-92814583.7|1012765575.17
BTC|SWAP|1h|2025-07-04_03:00:00|24782773.63|-185752727.5|-238710362.75|968598139.65
BTC|SWAP|1h|2025-07-04_04:00:00|264663.35|59097582.09|-125382069.24|995276295.95
BTC|SWAP|1h|2025-07-04_05:00:00|25209782.77|-158654692.03|-223082844.71|785547314.08
BTC|SWAP|1h|2025-07-04_06:00:00|-11725794.35|115224490.24|-170085347.2|366488670.66
BTC|SWAP|1h|2025-07-04_07:00:00|12090637.32|-82272350.93|-66604970.63|306315257.62
BTC|SWAP|1h|2025-07-04_08:00:00|3491383.45|-122871150.39|-248573703.11|214782009.54
BTC|SWAP|1h|2025-07-04_09:00:00|4143994.29|10250505.63|-79668505.45|274808036.23
BTC|SWAP|1h|2025-07-04_10:00:00|19829260.88|200869893.65|5976897.96|-92425965.72
BTC|SWAP|1h|2025-07-04_11:00:00|-9077613.37|-5465778.1|82783470.79|34967901.66
BTC|SWAP|1h|2025-07-04_12:00:00|9122540.85|55760020.49|261414641.67|173493411.29
BTC|SWAP|6h|2025-06-27_06:00:00|-31663575.07|-124078958.74|-31397763.61|-302821304.55
BTC|SWAP|6h|2025-06-27_12:00:00|8820033.8|83704567.36|448367011.5|449853463.32
BTC|SWAP|6h|2025-06-27_18:00:00|51126419.4|-107522371.01|90207499.42|492746298.42
BTC|SWAP|6h|2025-06-28_00:00:00|-8944135.62|-31509801.91|58739867.41|387893417.74
BTC|SWAP|6h|2025-06-28_06:00:00|3871045.71|29165313.26|168296117.33|631831224.18
BTC|SWAP|6h|2025-06-28_12:00:00|7435142.41|52670414.7|-24891565.01|238157237.89
BTC|SWAP|6h|2025-06-28_18:00:00|-4687966.0|54771569.26|255226660.19|359607873.63
BTC|SWAP|6h|2025-06-29_00:00:00|1059798.12|-21195608.26|45387483.87|346105187.43
BTC|SWAP|6h|2025-06-29_06:00:00|-3730963.71|28250527.47|53378272.16|182428431.33
BTC|SWAP|6h|2025-06-29_12:00:00|3069187.53|283261213.32|821100437.9|978202756.95
BTC|SWAP|6h|2025-06-29_18:00:00|47096200.91|102696323.06|-120046306.74|503273416.19
BTC|SWAP|6h|2025-06-30_00:00:00|5040618.36|-37011899.45|377370214.65|932296110.65
BTC|SWAP|6h|2025-06-30_06:00:00|31467134.37|-2061177.86|-211201821.51|679130208.1
BTC|SWAP|6h|2025-06-30_12:00:00|-48394664.21|-1546268.97|58005355.33|-43939277.8
BTC|SWAP|6h|2025-06-30_18:00:00|-35659568.94|2849657.83|-191480998.37|-64988149.82
BTC|SWAP|6h|2025-07-01_00:00:00|13899959.32|6325196.97|-285571864.95|-636290823.12
BTC|SWAP|6h|2025-07-01_06:00:00|6890574.19|-50179335.84|-206405062.16|-668067284.46
BTC|SWAP|6h|2025-07-01_12:00:00|17224335.8|164507559.69|-176252617.85|-800716218.62
BTC|SWAP|6h|2025-07-01_18:00:00|8640637.06|-11105066.72|-378422516.35|-770313809.27
BTC|SWAP|6h|2025-07-02_00:00:00|10790729.62|58771430.05|115180907.94|-928387176.46
BTC|SWAP|6h|2025-07-02_06:00:00|-1202712.11|101118470.39|436303870.68|-357976702.27
BTC|SWAP|6h|2025-07-02_12:00:00|24910850.19|-247203480.85|-336180562.36|-678619080.81
BTC|SWAP|6h|2025-07-02_18:00:00|-3738264.59|-254228048.97|1124690085.03|687021147.5
BTC|SWAP|6h|2025-07-03_00:00:00|15478775.45|-248660700.6|-226396497.94|1119556729.62
BTC|SWAP|6h|2025-07-03_06:00:00|-13825957.63|534283133.66|476191557.31|1494937865.49
BTC|SWAP|6h|2025-07-03_12:00:00|-5086894.38|-82765489.14|302703239.92|2101363115.61
BTC|SWAP|6h|2025-07-03_18:00:00|-7117014.14|92379248.2|-125406733.89|1316795489.7
BTC|SWAP|6h|2025-07-04_00:00:00|2899332.76|-54230711.42|-50449610.68|1248454937.02
BTC|SWAP|6h|2025-07-04_06:00:00|-11725794.35|115224490.24|-170085347.2|366488670.66
BTC|SWAP|6h|2025-07-04_12:00:00|9122540.85|55760020.49|261414641.67|173493411.29
BTC|SPOT|5m|2025-07-04_00:10:00|-4053.96|-13695356.87|-15679834.64|117879483.7
BTC|SPOT|5m|2025-07-04_00:15:00|-2360208.45|-12650455.58|-17066603.54|111200337.67
BTC|SPOT|5m|2025-07-04_00:20:00|-600550.98|-12183600.01|-17845631.63|111200337.67
BTC|SPOT|5m|2025-07-04_00:25:00|-2282461.56|-3886827.78|-19758788.23|111200337.67
BTC|SPOT|5m|2025-07-04_00:30:00|-118194.53|-4277378.78|-20269139.8|106574542.39
